,Student_ID,Attendance_Percent,Assignment_Score,Midterm_Score,Final_Exam_Score,Project_Score,Participation_Score,Overall_Score,Status
0,STU202400001,85.93,60.76,70.91,70.9,72.88,72.84,68.86,Pass
1,STU202400002,83.58,51.84,75.81,71.52,78.06,80.04,69.29,Pass
2,STU202400003,81.84,41.83,38.96,52.38,61.85,71.51,50.39,Pass
3,STU202400004,72.28,81.5,83.56,80.49,66.04,76.75,78.81,Pass
4,STU202400005,97.48,64.11,84.47,62.98,75.97,88.76,72.09,Pass
5,STU202400006,71.13,87.93,72.55,85.19,78.33,50.05,78.81,Pass
6,STU202400007,89.97,56.48,43.8,43.33,77.77,80.67,55.61,Pass
7,STU202400008,77.52,78.69,56.32,59.65,58.34,69.45,64.53,Pass
8,STU202400009,82.29,45.45,26.14,29.42,77.09,82.83,45.26,Pass
9,STU202400010,92.26,79.57,61.56,59.5,87.98,69.23,70.18,Pass
10,STU202400011,95.0,77.87,51.56,62.37,69.73,89.37,67.89,Pass
11,STU202400012,70.15,55.51,66.78,68.82,65.91,75.91,65.36,Pass
12,STU202400013,83.91,74.88,86.03,70.18,69.31,85.73,75.95,Pass
13,STU202400014,84.9,100.0,58.96,52.12,70.82,73.55,70.41,Pass
14,STU202400015,65.27,82.32,75.4,73.36,90.36,68.06,78.03,Pass
15,STU202400016,87.6,100.0,66.42,77.82,58.53,79.51,78.36,Pass
16,STU202400017,69.66,74.3,51.73,73.25,61.99,78.79,68.07,Pass
17,STU202400018,77.39,80.67,93.37,100.0,47.8,76.23,83.63,Pass
18,STU202400019,81.09,64.86,82.89,66.32,90.35,73.45,73.58,Pass
19,STU202400020,81.69,75.69,48.05,44.59,78.96,74.28,61.18,Pass
20,STU202400021,71.2,57.36,76.07,69.23,58.89,56.63,64.82,Pass
21,STU202400022,90.03,85.58,64.26,61.46,72.15,73.89,70.9,Pass
22,STU202400023,62.13,59.92,77.23,54.16,80.84,58.3,64.63,Pass
23,STU202400024,85.8,96.99,43.86,61.4,82.69,81.14,71.96,Pass
24,STU202400025,76.51,51.81,61.73,52.74,88.17,57.14,60.06,Pass
25,STU202400026,83.69,67.43,74.37,61.86,53.94,77.05,66.09,Pass
26,STU202400027,83.14,68.27,48.42,59.22,88.79,67.51,64.59,Pass
27,STU202400028,70.91,55.23,72.66,54.26,52.96,53.76,57.94,Pass
28,STU202400029,82.15,75.52,61.97,59.14,87.64,65.13,68.68,Pass
29,STU202400030,80.77,64.0,68.79,75.16,86.16,72.56,72.49,Pass
30,STU202400031,78.76,93.06,86.35,77.4,100.0,73.48,86.11,Pass
31,STU202400032,76.31,59.82,100.0,93.96,69.8,71.78,80.79,Pass
32,STU202400033,84.24,78.32,69.4,78.43,65.37,72.13,74.01,Pass
33,STU202400034,68.11,70.71,64.61,62.75,78.81,60.32,67.28,Pass
34,STU202400035,60.0,68.8,100.0,44.78,77.16,58.36,68.04,Pass
35,STU202400036,77.4,73.37,88.4,92.79,100.0,55.96,84.46,Pass
36,STU202400037,79.91,82.62,99.97,84.42,56.68,72.21,81.7,Pass
37,STU202400038,96.58,43.69,72.29,77.86,65.66,86.03,67.19,Pass
38,STU202400039,83.47,72.71,82.7,91.02,61.27,64.12,77.63,Pass
39,STU202400040,70.13,59.61,68.87,44.42,80.68,72.17,61.32,Pass
40,STU202400041,60.0,60.75,69.02,66.36,69.01,46.98,63.95,Pass
41,STU202400042,81.6,75.65,69.99,85.52,80.68,76.43,78.31,Pass
42,STU202400043,95.04,88.5,75.5,67.82,83.37,73.72,77.45,Pass
